DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str	
33	96	107	3	95	8	136	9	217	
27	74	160	6	105	11	138	4	252	
26	73	132	7	99	14	131	21	241	
25	84	142	18	110	10	130	12	237	
29	58	125	6	101	14	134	17	217	
26	82	136	7	86	6	155	20	233	
21	79	138	15	112	11	132	10	235	
22	84	117	6	116	18	135	22	206	
21	69	152	4	110	11	157	22	210	
18	73	121	6	110	14	155	15	198	
39	91	125	7	107	10	153	32	223	
23	91	107	22	103	17	171	33	206	
25	59	119	6	107	15	171	27	216	
17	81	140	17	110	10	167	25	181	
21	79	154	13	105	19	201	28	203	
18	81	125	8	114	10	157	38	219	
20	63	109	4	99	15	208	33	202	
16	79	101	11	163	19	209	35	191	
16	86	154	13	129	28	190	38	193	
16	109	136	8	150	26	232	30	227	
26	87	136	10	153	19	253	52	189	
21	71	119	13	187	25	227	53	205	
25	92	136	4	161	30	224	58	193	
23	79	123	11	185	33	270	58	175	
27	114	156	13	191	41	265	83	233	
18	74	166	17	200	40	318	112	238	
21	82	148	7	240	36	280	105	227	
18	87	144	22	189	58	373	127	285	
23	97	148	7	195	52	408	139	262	
33	91	152	13	204	45	404	153	247	
35	78	158	21	213	65	475	184	252	
43	89	148	17	236	81	532	258	244	
40	84	150	18	262	103	576	281	266	
59	74	130	21	281	131	674	317	280	
59	84	158	15	346	134	843	392	280	
68	81	138	21	348	150	1012	503	289	
52	96	182	27	363	200	1091	525	324	
89	96	166	24	374	193	1238	712	332	
94	86	170	24	483	212	1411	772	346	
107	94	182	49	498	251	1517	829	352	
120	102	186	39	593	289	1810	1011	402	
133	99	170	48	543	325	1882	1017	420	
129	96	154	48	619	375	2095	1135	456	
161	122	192	48	694	446	2227	1286	450	
155	109	231	65	764	401	2179	1259	432	
181	114	166	49	732	439	2379	1397	427	
158	109	223	49	801	438	2372	1312	441	
161	115	204	48	790	443	2423	1370	447	
156	112	186	67	829	412	2399	1340	503	
150	150	231	60	880	443	2390	1276	470	
154	137	219	59	788	377	2222	1243	485	
151	127	200	52	780	388	2194	1197	534	
174	143	219	49	694	363	1915	1042	503	
176	106	215	52	666	333	1746	892	485	
156	129	215	60	646	326	1574	777	496	
145	134	257	44	569	296	1459	745	463	
176	120	190	39	578	230	1290	634	517	
145	135	196	52	563	227	1122	555	405	
139	134	180	46	494	167	1040	464	482	
152	114	223	55	472	134	900	384	461	
165	129	229	45	382	118	683	323	486	
168	120	237	37	348	107	574	284	482	
176	160	213	52	309	94	528	211	513	
190	147	249	56	324	89	492	190	566	
210	170	257	65	258	72	408	131	577	
220	173	249	69	258	62	345	127	586	
263	168	255	59	249	63	335	113	713	
259	172	283	70	243	59	284	81	760	
296	181	295	79	176	56	276	95	776	
310	190	289	62	200	58	303	99	918	
288	198	356	79	211	44	281	95	931	
397	247	295	112	198	50	297	115	1009	
418	218	387	104	195	47	309	107	1095	
509	262	397	141	232	47	317	97	1312	
542	244	419	131	197	62	317	97	1247	
600	313	470	167	223	65	355	112	1375	
629	300	459	164	221	61	386	146	1533	
863	310	506	197	228	81	377	171	1751	
927	371	536	216	256	73	455	189	1957	
1179	356	601	278	238	94	465	202	2195	
1263	424	648	266	238	96	516	210	2304	
1528	455	721	343	294	92	615	295	2673	
1773	506	759	386	303	129	653	356	2931	
2207	518	828	447	341	143	783	470	3529	
2544	605	937	503	386	161	820	513	3829	
2968	661	986	607	415	226	928	601	4366	
3627	811	1227	714	442	218	1098	732	4884	
4188	853	1372	847	522	263	1305	851	5612	
4884	958	1334	948	528	322	1524	1035	6411	
5604	1138	1528	1082	472	330	1643	1123	7325	
6163	1192	1664	1248	561	363	1770	1271	7986	
6849	1308	1846	1345	672	439	2024	1366	9022	
7407	1357	1943	1363	668	481	2180	1449	9371	
7982	1540	2044	1629	734	482	2332	1662	10241	
8412	1552	2281	1665	754	537	2400	1782	10864	
8960	1626	2453	1808	866	582	2609	1760	11475	
8990	1756	2441	1780	784	556	2528	1810	11482	
9078	1837	2498	1811	812	624	2751	1930	11968	
8811	1737	2506	1853	941	577	2575	1877	11877	
8937	1804	2516	1895	954	589	2649	1830	11841	
8294	1791	2714	1817	876	620	2530	1767	11485	
8170	1842	2556	1763	876	624	2557	1754	11325	
7348	1681	2437	1581	868	486	2334	1586	10482	
7057	1643	2427	1533	857	475	2159	1463	9761	
6309	1507	2277	1336	846	420	1975	1343	8876	
5745	1460	2172	1241	829	497	1950	1228	8173	
5007	1184	2018	1097	741	365	1654	1036	7224	
4349	1136	1868	958	694	344	1643	991	6419	
3653	1041	1688	828	610	329	1304	811	5958	
3153	876	1591	773	575	274	1192	725	4782	
