DWTR-TX.str	DWTR-AR.str	DWTR-FL.str	DWTR-IL.str	DWTR-KS.str	DWTR-ME.str	DWTR-OR.str	DWTR-PA.str	
119	124	126	65	92	164	165	137	
134	123	124	63	93	143	184	162	
132	137	114	50	103	149	197	180	
132	119	120	39	109	159	176	174	
114	122	112	50	102	157	160	150	
170	148	137	59	97	149	168	163	
131	165	137	62	93	142	181	142	
153	133	114	52	105	182	164	180	
126	129	132	50	123	162	176	170	
162	127	114	59	127	165	157	181	
150	137	114	49	118	159	161	179	
144	146	117	56	133	170	201	179	
143	159	132	57	117	190	169	175	
159	155	117	52	140	156	181	220	
151	150	117	50	133	152	157	205	
154	148	137	66	131	169	180	226	
133	164	120	59	138	174	169	200	
144	211	88	39	127	169	206	205	
171	194	132	44	167	181	213	238	
183	179	137	46	175	196	188	298	
157	238	123	46	151	200	206	350	
161	242	108	53	236	199	190	340	
157	302	132	56	250	273	204	424	
199	334	126	76	276	243	225	445	
193	344	141	65	280	265	210	516	
188	411	119	66	297	303	234	575	
188	428	128	70	336	323	243	642	
207	483	159	70	417	321	272	743	
213	583	148	73	465	320	297	874	
246	588	126	83	516	383	309	883	
217	628	172	73	508	363	338	894	
237	729	145	85	589	450	345	1064	
211	736	163	80	557	426	356	1051	
247	818	129	65	669	417	391	1126	
257	842	144	85	643	468	342	1227	
274	880	135	85	621	468	401	1202	
251	815	163	97	561	430	414	1236	
235	851	136	109	633	453	427	1199	
223	787	158	92	581	422	374	1077	
268	768	135	87	647	458	402	1083	
254	707	160	92	517	409	436	1027	
212	739	183	79	547	377	361	1032	
223	657	149	76	487	399	367	888	
194	669	158	77	452	334	395	793	
250	513	187	76	413	357	336	755	
220	493	177	65	323	347	373	626	
227	453	166	59	300	233	341	554	
214	407	142	85	267	306	364	521	
239	406	184	57	224	273	332	412	
217	385	183	76	236	276	391	430	
252	356	152	93	203	270	375	335	
236	385	175	72	211	238	381	344	
228	357	173	79	181	304	426	310	
247	360	179	70	154	269	451	280	
236	387	168	89	185	270	460	275	
287	448	166	82	190	300	517	251	
275	416	189	95	185	271	559	229	
292	456	182	80	166	266	582	242	
304	477	210	93	204	303	642	258	
337	482	182	95	221	296	748	283	
332	495	195	92	196	333	781	267	
412	530	204	89	231	316	818	290	
403	671	232	93	223	349	870	301	
495	712	210	96	278	380	970	343	
558	734	228	108	247	413	1064	331	
585	858	237	100	298	463	1194	418	
607	951	216	112	340	495	1400	414	
699	1128	289	109	403	536	1535	489	
807	1317	347	103	444	566	1718	510	
976	1636	373	120	546	672	2016	620	
1074	1785	385	109	622	752	2304	687	
1355	2217	480	115	693	882	2732	807	
1466	2616	503	103	821	1015	3030	885	
1845	3097	601	143	961	1126	3742	1063	
2200	3640	662	146	1106	1333	4114	1220	
2455	4395	768	179	1371	1634	4961	1441	
2910	4985	900	171	1471	1814	5644	1651	
3423	5897	1036	196	1735	2161	6714	1887	
3831	6694	1207	194	1986	2357	7063	2104	
4387	7522	1314	206	2252	2784	8387	2497	
4561	7940	1374	226	2442	2785	9167	2550	
5114	8993	1566	265	2620	3200	10087	2951	
5499	9490	1614	248	2900	3387	10426	2976	
5835	10442	1635	280	3083	3533	11589	3272	
5780	10313	1652	280	3066	3629	11706	3453	
6250	11155	1792	278	3143	3906	12504	3517	
6126	10993	1722	281	3166	3776	12284	3548	
6127	10874	1735	272	3158	3673	12662	3503	
5848	10703	1645	304	2983	3577	12288	3273	
5731	10304	1564	314	2858	3604	12047	3234	
5291	9789	1479	280	2730	3334	11429	3008	
5153	8986	1353	300	2503	3035	10909	2810	
4707	8104	1255	228	2253	2790	9997	2656	
4031	7430	1080	248	2085	2593	9443	2337	
3582	6689	956	224	1843	2260	7973	2099	
3261	5785	891	194	1596	2052	7342	1937	
2715	4923	772	181	1349	1780	6279	1658	
2323	4247	662	196	1122	1535	5725	1485	
1896	3535	587	145	1013	1230	4662	1168	
1632	3091	546	166	851	1181	4040	1057	
1325	2310	396	113	658	915	3175	821	
1085	2065	398	108	570	836	2797	771	
894	1507	308	90	487	677	2295	616	
751	1408	242	72	394	586	1755	582	
597	979	300	67	347	473	1388	488	
495	825	232	73	305	434	1125	387	
401	648	208	69	234	379	957	369	
331	604	175	67	187	354	788	321	
290	429	161	62	181	298	627	299	
264	391	167	57	166	295	554	293	
253	341	157	60	152	269	436	244	
173	299	147	86	156	202	350	239	
194	247	161	63	138	278	344	207	
176	225	171	59	133	219	323	221	
178	232	143	52	133	215	287	176	
171	199	160	60	144	228	245	226	
168	191	145	50	130	232	242	189	
180	202	147	52	131	214	237	182	
206	175	145	63	139	211	254	179	
183	205	157	75	126	196	238	213	
180	194	148	83	122	211	263	204	
178	205	169	72	160	242	260	218	
173	194	142	92	112	256	262	206	
173	212	164	86	131	185	291	220	
180	210	140	92	133	216	271	211	
187	232	161	90	136	243	295	194	
208	245	143	97	115	230	299	201	
213	249	173	100	147	284	311	177	
225	246	176	113	147	236	325	187	
231	302	172	92	156	217	357	245	
207	278	193	118	161	242	390	217	
257	266	196	130	170	231	366	236	
254	289	161	113	166	273	377	206	
277	350	184	151	177	278	494	255	
316	391	182	146	214	282	508	243	
359	429	190	135	203	305	596	240	
349	447	199	143	214	305	580	293	
372	464	216	161	209	299	681	313	
455	583	231	156	253	396	747	300	
510	701	219	183	280	422	870	375	
528	773	230	169	293	402	970	364	
635	890	261	175	340	470	1035	383	
617	972	301	185	335	470	1158	448	
710	1058	311	183	424	563	1352	464	
761	1173	309	202	479	567	1450	468	
780	1333	361	225	465	605	1541	545	
853	1334	352	188	475	643	1619	551	
955	1555	373	216	539	626	1773	554	
962	1611	343	201	489	710	1804	606	
1084	1631	381	218	554	702	1991	625	
1060	1719	428	214	568	716	2000	631	
1203	1717	386	219	599	799	2067	598	
1083	1694	398	176	512	776	2073	555	
1108	1723	343	214	502	753	2168	694	
980	1625	355	218	516	703	2026	579	
1032	1549	342	212	509	703	1972	638	
968	1606	346	199	494	673	1861	577	
910	1427	326	199	458	646	1790	530	
764	1251	295	225	396	598	1588	444	
740	1144	274	228	372	527	1519	456	
728	978	250	248	363	522	1323	449	
615	896	245	222	302	454	1249	426	
508	751	251	196	283	408	1098	346	
420	694	231	221	267	375	952	298	
369	550	223	182	227	327	804	289	
399	541	206	221	180	372	818	280	
367	432	198	183	239	299	637	240	
276	371	191	176	190	260	567	232	
269	310	171	198	155	244	439	225	
218	274	192	208	125	236	402	217	
201	240	168	166	124	239	386	187	
188	207	153	211	112	211	307	186	
159	185	152	175	137	245	291	183	
160	174	147	196	122	221	256	148	
147	140	136	183	105	194	200	168	
145	132	151	196	133	209	221	170	
153	149	132	225	110	193	189	160	
148	129	167	215	127	214	163	188	
128	119	144	182	126	182	149	195	
149	114	157	179	148	203	160	162	
134	122	148	176	107	175	173	162	
159	113	141	168	116	169	147	176	
157	125	125	185	97	187	145	167	
132	112	140	159	132	238	157	185	
142	134	144	159	123	185	160	162	
148	104	151	166	118	194	131	156	
121	120	120	153	116	199	160	156	
157	148	147	120	117	231	171	168	
126	114	136	152	87	181	143	169	
136	122	156	175	119	209	180	170	
155	92	142	172	101	202	147	177	
144	117	139	152	97	228	159	163	
157	98	143	142	137	196	152	171	
145	120	160	148	116	230	147	198	
136	130	135	125	122	233	174	152	
147	129	137	132	125	203	156	189	
149	99	147	113	111	181	171	183	
170	114	143	138	132	225	149	187	
183	118	155	110	133	169	168	187	
171	128	124	113	131	208	177	183	
120	140	134	106	126	196	139	170	
148	123	155	96	105	215	160	181	
136	83	126	105	115	192	153	181	
147	120	153	116	131	231	152	165	
141	109	142	122	124	192	168	180	
155	115	159	100	122	234	144	154	
153	115	169	92	130	204	144	202	
138	94	161	90	117	193	136	161	
150	119	137	76	124	225	135	156	
