twotheta, intensity, esd
45.638, 268.73579471, 16.1743509037
45.639, 282.276496552, 16.5740775581
45.64, 266.875946538, 16.1209397957
45.641, 279.78120383, 16.5132179449
45.642, 266.803045235, 16.1165361111
45.643, 233.475781396, 15.0694657733
45.644, 256.9399558, 15.8120247321
45.645, 290.471831992, 16.8247360666
45.646, 270.407015161, 16.245526653
45.647, 274.507783731, 16.3450041543
45.648, 275.856594816, 16.3962646397
45.649, 331.522435729, 17.9506934117
45.65, 301.985153947, 17.1496474285
45.651, 282.032267218, 16.5883688781
45.652, 305.788423023, 17.2546448943
45.653, 281.911959843, 16.5812927263
45.654, 285.324787661, 16.6670546769
45.655, 264.038949207, 16.037624272
45.656, 304.610388369, 17.2156138204
45.657, 295.311773912, 16.9633263419
45.658, 294.751722546, 16.9591706099
45.659, 281.574286447, 16.561431698
45.66, 283.237948905, 16.6305299588
45.661, 265.593680592, 16.072845814
45.662, 263.434345905, 16.0305107126
45.663, 264.796328419, 16.0540285698
45.664, 271.965510193, 16.280477393
45.665, 295.490779546, 16.9736088002
45.666, 275.969791186, 16.4029927647
45.667, 283.342981801, 16.6366970445
45.668, 271.814663177, 16.2714473457
45.669, 267.246786552, 16.1433408012
45.67, 274.784394048, 16.3614743495
45.671, 292.449961983, 16.8827422641
45.672, 285.621381708, 16.7129308952
45.673, 263.718833004, 16.0478223257
45.674, 270.198086774, 16.2329746426
45.675, 299.960526882, 17.1177172972
45.676, 266.856807527, 16.1492860531
45.677, 275.492481807, 16.3746226222
45.678, 274.753748268, 16.388739486
45.679, 265.860443762, 16.0889894334
45.68, 277.749184977, 16.4507161794
45.681, 298.418690669, 17.0575399366
45.682, 284.507742125, 16.6477670714
45.683, 279.968862092, 16.5242938919
45.684, 237.778734496, 15.2208567443
45.685, 281.917254234, 16.581604128
45.686, 266.828055899, 16.1180469082
45.687, 288.465479432, 16.7648889573
45.688, 292.657890272, 16.8947456841
45.689, 290.661179179, 16.8357034517
45.69, 279.043315222, 16.4984404288
